year,age,reg,value
,,Мурманская область,0.2
,,Новгородская область,0.6
,,Псковская область,0.2
,,Город Санкт-Петербург город федерального значения,0.2
,,Южный федеральный округ (с 2010 года),0.3
,,Республика Адыгея (Адыгея),0.3
,,Республика Калмыкия,0.1
,,Краснодарский край,0.2
,,Астраханская область,0.3
,,Волгоградская область,0.3
,,Ростовская область,0.4
,,Северо-Кавказский федеральный округ,0.2
,,Республика Дагестан,0.2
,,Республика Ингушетия,0.2
,,Кабардино-Балкарская Республика,0.2
,,Карачаево-Черкесская Республика,0.1
,,Республика Северная Осетия-Алания,0.3
,,Чеченская Республика,0.1
,,Ставропольский край,0.3
,,Приволжский федеральный округ,0.3
,,Республика Башкортостан,0.3
,,Республика Марий Эл,0.2
,,Республика Мордовия,0.4
,,Республика Татарстан (Татарстан),0.2
,,Удмуртская Республика,0.3
,,Чувашская Республика - Чувашия,0.2
,,Пермский край,0.4
,,Кировская область,0.4
,,Нижегородская область,0.4
,,Оренбургская область,0.2
,,Пензенская область,0.2
,,Самарская область,0.3
,,Саратовская область,0.3
,,Ульяновская область,0.3
,,Уральский федеральный округ,0.3
,,Курганская область,0.2
,,Свердловская область,0.3
,,Тюменская область,0.3
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.2
,,Ямало-Ненецкий автономный округ (Тюменская область),0.4
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.3
,,Челябинская область,0.3
,,Сибирский федеральный округ,0.4
,,Дальневосточный федеральный округ,0.5
,15-19 лет,Российская Федерация,0.8
,,Центральный федеральный округ,0.7
,,Белгородская область,0.6
,,Брянская область,1
,,Владимирская область,1
,,Воронежская область,0.7
,,Ивановская область,0.8
,,Калужская область,0.9
,,Костромская область,1
,,Курская область,0.9
,,Липецкая область,0.9
,,Московская область,0.7
,,Орловская область,0.9
,,Рязанская область,1
,,Смоленская область,0.6
,,Тамбовская область,0.7
,,Тверская область,1.1
,,Тульская область,1
,,Ярославская область,0.6
,,Город Москва столица Российской Федерации город федерального значения,0.5
,,Республика Алтай,2.4
,,Республика Тыва,2.6
,,Республика Хакасия,1.1
,,Алтайский край,1
,,Красноярский край,1
,,Иркутская область,1.5
,,Кемеровская область - Кузбасс,1.1
,,Новосибирская область,0.9
,,Омская область,1
,,Томская область,1
,,Республика Бурятия,1.7
,,Забайкальский край,1.9
,,Республика Саха (Якутия),1.3
,,Камчатский край,1.6
,,Приморский край,0.9
,,Хабаровский край,1.2
,,Амурская область,1.5
,,Магаданская область,1.2
,,Сахалинская область,1.3
,,Еврейская автономная область,1.3
,,Чукотский автономный округ,3
,,Северо-Западный федеральный округ,0.7
,,Республика Карелия,0.8
,,Республика Коми,1.3
,,Архангельская область,0.9
,,Ненецкий автономный округ (Архангельская область),1.6
,,Архангельская область (кроме Ненецкого автономного округа),0.9
,,Вологодская область,0.7
,,Калининградская область,0.9
,,Ленинградская область,0.8
,,Мурманская область,0.6
,,Новгородская область,1.2
,,Псковская область,1
,,Город Санкт-Петербург город федерального значения,0.4
,,Южный федеральный округ (с 2010 года),0.7
,,Республика Адыгея (Адыгея),0.8
,,Республика Калмыкия,0.9
,,Краснодарский край,0.8
,,Астраханская область,0.8
,,Волгоградская область,0.7
,,Ростовская область,0.7
,,Северо-Кавказский федеральный округ,0.5
,,Республика Дагестан,0.5
,,Республика Ингушетия,0.2
,,Кабардино-Балкарская Республика,0.8
,,Карачаево-Черкесская Республика,0.7
,,Республика Северная Осетия-Алания,0.5
,,Чеченская Республика,0.4
,,Ставропольский край,0.5
,,Приволжский федеральный округ,0.8
,,Республика Башкортостан,1
,,Республика Марий Эл,0.9
,,Республика Мордовия,0.9
,,Республика Татарстан (Татарстан),0.6
,,Удмуртская Республика,1
,,Чувашская Республика - Чувашия,0.7
,,Пермский край,1.1
,,Кировская область,1
,,Нижегородская область,0.8
,,Оренбургская область,1.1
,,Пензенская область,0.7
,,Самарская область,0.7
,,Саратовская область,0.7
,,Ульяновская область,0.9
,,Уральский федеральный округ,0.9
,,Курганская область,1.2
,,Свердловская область,0.8
,,Тюменская область,0.9
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.7
,,Ямало-Ненецкий автономный округ (Тюменская область),1.4
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.9
,,Челябинская область,1
,,Сибирский федеральный округ,1.2
,,Дальневосточный федеральный округ,1.2
,20-24,Российская Федерация,1.6
,,Центральный федеральный округ,1.3
,,Белгородская область,1.3
,,Брянская область,1.4
,,Владимирская область,1.7
,,Воронежская область,1.3
,,Ивановская область,1.3
,,Калужская область,1.5
,,Костромская область,1.7
,,Курская область,1.7
,,Липецкая область,1.5
,,Московская область,1.5
,,Орловская область,1.4
,,Рязанская область,1.7
,,Смоленская область,1.8
,,Тамбовская область,1.4
,,Тверская область,2.3
,,Тульская область,1.8
,,Ярославская область,1.3
,,Город Москва столица Российской Федерации город федерального значения,0.9
,,Республика Алтай,3.8
,,Республика Тыва,5
,,Республика Хакасия,2.6
,,Алтайский край,1.8
,,Красноярский край,1.9
,,Иркутская область,2.5
,,Кемеровская область - Кузбасс,3
,,Новосибирская область,1.7
,,Омская область,1.6
,,Томская область,1.5
,,Республика Бурятия,2.5
,,Забайкальский край,3.1
,,Республика Саха (Якутия),2.2
,,Камчатский край,2.4
,,Приморский край,1.9
,,Хабаровский край,1.8
,,Амурская область,2.8
,,Магаданская область,1.9
,,Сахалинская область,2.4
,,Еврейская автономная область,1.9
,,Чукотский автономный округ,5.4
,,Северо-Западный федеральный округ,1.4
,,Республика Карелия,1.9
,,Республика Коми,1.8
,,Архангельская область,2.1
,,Ненецкий автономный округ (Архангельская область),4
,,Архангельская область (кроме Ненецкого автономного округа),2
,,Вологодская область,1.7
,,Калининградская область,1.5
,,Ленинградская область,1.6
,,Мурманская область,1.5
,,Новгородская область,2.3
,,Псковская область,1.8
,,Город Санкт-Петербург город федерального значения,0.9
,,Южный федеральный округ (с 2010 года),1.3
,,Республика Адыгея (Адыгея),1.3
,,Республика Калмыкия,1.8
,,Краснодарский край,1.3
,,Астраханская область,1.5
,,Волгоградская область,1.3
,,Ростовская область,1.3
,,Северо-Кавказский федеральный округ,1
,,Республика Дагестан,0.9
,,Республика Ингушетия,0.8
,,Кабардино-Балкарская Республика,1.3
,,Карачаево-Черкесская Республика,1.3
,,Республика Северная Осетия-Алания,1
,,Чеченская Республика,0.7
,,Ставропольский край,1
,,Приволжский федеральный округ,1.6
,,Республика Башкортостан,2
,,Республика Марий Эл,1.5
,,Республика Мордовия,1.4
,,Республика Татарстан (Татарстан),1.2
,,Удмуртская Республика,1.8
,,Чувашская Республика - Чувашия,1.5
,,Пермский край,2.1
,,Кировская область,1.5
,,Нижегородская область,1.8
,,Оренбургская область,1.9
,,Пензенская область,1.4
,,Самарская область,1.5
,,Саратовская область,1.5
,,Ульяновская область,1.6
,,Уральский федеральный округ,1.8
,,Курганская область,2.6
,,Свердловская область,1.7
,,Тюменская область,1.8
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),1.5
,,Ямало-Ненецкий автономный округ (Тюменская область),2.3
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1.9
,,Челябинская область,1.9
,,Сибирский федеральный округ,2.2
,,Дальневосточный федеральный округ,2.1
,25-29 лет,Российская Федерация,2.7
,,Центральный федеральный округ,2.3
,,Белгородская область,1.6
,,Брянская область,2.7
,,Владимирская область,3.3
,,Воронежская область,2.4
,,Ивановская область,3
,,Калужская область,2.6
,,Костромская область,2.9
,,Курская область,2.5
,,Липецкая область,2.6
,,Московская область,2.6
,,Орловская область,2.4
,,Рязанская область,3.1
,,Смоленская область,3.1
,,Тамбовская область,2.6
,,Тверская область,3.8
,,Тульская область,3.2
,,Ярославская область,2.7
,,Город Москва столица Российской Федерации город федерального значения,1.6
,,Республика Алтай,3.4
,,Республика Тыва,5.6
,,Республика Хакасия,2.7
,,Алтайский край,2.8
,,Красноярский край,3.1
,,Иркутская область,4.8
,,Кемеровская область - Кузбасс,4.6
,,Новосибирская область,2.7
,,Омская область,2.4
,,Томская область,2.7
,,Республика Бурятия,3.8
,,Забайкальский край,4.4
,,Республика Саха (Якутия),3.3
,,Камчатский край,2.6
,,Приморский край,3.4
,,Хабаровский край,3.2
,,Амурская область,4.1
,,Магаданская область,2.3
,,Сахалинская область,3.8
,,Еврейская автономная область,4.7
,,Чукотский автономный округ,4.6
,,Северо-Западный федеральный округ,2.5
,,Республика Карелия,3
,,Республика Коми,3
,,Архангельская область,2.5
,,Ненецкий автономный округ (Архангельская область),5.3
,,Архангельская область (кроме Ненецкого автономного округа),2.4
,,Вологодская область,2.6
,,Калининградская область,2.6
,,Ленинградская область,3.2
,,Мурманская область,2.8
,,Новгородская область,3.9
,,Псковская область,3.1
,,Город Санкт-Петербург город федерального значения,1.8
,,Южный федеральный округ (с 2010 года),2.1
,,Республика Адыгея (Адыгея),1.7
,,Республика Калмыкия,2.3
,,Краснодарский край,1.8
,,Астраханская область,2.5
,,Волгоградская область,2.2
,,Ростовская область,2.3
,,Северо-Кавказский федеральный округ,1.4
,,Республика Дагестан,1.3
,,Республика Ингушетия,1.5
,,Кабардино-Балкарская Республика,1.9
,,Карачаево-Черкесская Республика,1.6
,,Республика Северная Осетия-Алания,1.6
,,Чеченская Республика,0.9
,,Ставропольский край,1.6
,,Приволжский федеральный округ,2.9
,,Республика Башкортостан,3.1
,,Республика Марий Эл,3.2
,,Республика Мордовия,2.4
,,Республика Татарстан (Татарстан),2
,,Удмуртская Республика,2.6
,,Чувашская Республика - Чувашия,2.4
,,Пермский край,3.3
,,Кировская область,2.3
,,Нижегородская область,3.2
,,Оренбургская область,3.2
,,Пензенская область,2.6
,,Самарская область,3.8
,,Саратовская область,2.6
,,Ульяновская область,3
,,Уральский федеральный округ,3
,,Курганская область,3.1
,,Свердловская область,3.2
,,Тюменская область,2.7
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),2.6
,,Ямало-Ненецкий автономный округ (Тюменская область),2.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),3.2
,,Челябинская область,3.2
,,Сибирский федеральный округ,3.5
,,Дальневосточный федеральный округ,3.4
,30-34 лет,Российская Федерация,4.1
,,Центральный федеральный округ,3.6
,,Белгородская область,2.7
,,Брянская область,4.4
,,Владимирская область,5.1
,,Воронежская область,3.7
,,Ивановская область,4.1
,,Калужская область,4.2
,,Костромская область,4.2
,,Курская область,3.8
,,Липецкая область,4
,,Московская область,3.9
,,Орловская область,3.1
,,Рязанская область,4.3
,,Смоленская область,4.9
,,Тамбовская область,3.7
,,Тверская область,5.5
,,Тульская область,4.5
,,Ярославская область,3.4
,,Город Москва столица Российской Федерации город федерального значения,2.7
,,Республика Алтай,5.1
,,Республика Тыва,7.2
,,Республика Хакасия,4.8
,,Алтайский край,4.6
,,Красноярский край,4.7
,,Иркутская область,7.3
,,Кемеровская область - Кузбасс,7.1
,,Новосибирская область,4.2
,,Омская область,3.8
,,Томская область,4.2
,,Республика Бурятия,5.7
,,Забайкальский край,5.5
,,Республика Саха (Якутия),4.9
,,Камчатский край,4.7
,,Приморский край,5.4
,,Хабаровский край,5
,,Амурская область,6.5
,,Магаданская область,3.7
,,Сахалинская область,5.1
,,Еврейская автономная область,7.5
,,Чукотский автономный округ,7.8
,,Северо-Западный федеральный округ,4.1
,,Республика Карелия,4.9
,,Республика Коми,4.2
,,Архангельская область,3.6
,,Ненецкий автономный округ (Архангельская область),3.6
,,Архангельская область (кроме Ненецкого автономного округа),3.6
,,Вологодская область,3.9
,,Калининградская область,3.9
,,Ленинградская область,5.2
,,Мурманская область,3.9
,,Новгородская область,5.4
,,Псковская область,5.4
,,Город Санкт-Петербург город федерального значения,3.4
,,Южный федеральный округ (с 2010 года),3.2
,,Республика Адыгея (Адыгея),2.6
,,Республика Калмыкия,3.2
,,Краснодарский край,2.9
,,Астраханская область,3.5
,,Волгоградская область,3.4
,,Ростовская область,3.5
,,Северо-Кавказский федеральный округ,2.1
,,Республика Дагестан,1.7
,,Республика Ингушетия,1.8
,,Кабардино-Балкарская Республика,2.8
,,Карачаево-Черкесская Республика,2.1
,,Республика Северная Осетия-Алания,3.2
,,Чеченская Республика,1.2
,,Ставропольский край,2.4
,,Приволжский федеральный округ,4.6
,,Республика Башкортостан,4.9
,,Республика Марий Эл,4.5
,,Республика Мордовия,3.1
,,Республика Татарстан (Татарстан),3.5
,,Удмуртская Республика,4.2
,,Чувашская Республика - Чувашия,3.9
,,Пермский край,5.4
,,Кировская область,2.9
,,Нижегородская область,4.8
,,Оренбургская область,5.5
,,Пензенская область,3.8
,,Самарская область,6.1
,,Саратовская область,4.3
,,Ульяновская область,4.8
,,Уральский федеральный округ,4.7
,,Курганская область,5.2
,,Свердловская область,5
,,Тюменская область,3.8
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),3.6
,,Ямало-Ненецкий автономный округ (Тюменская область),2.6
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),4.8
,,Челябинская область,5.2
,,Сибирский федеральный округ,5.3
,,Дальневосточный федеральный округ,5.4
,35-39 лет,Российская Федерация,4.9
,,Центральный федеральный округ,4.3
,,Белгородская область,3.5
,,Брянская область,5.4
,,Владимирская область,6.4
,,Воронежская область,4.4
,,Ивановская область,5.2
,,Калужская область,5.7
,,Костромская область,4.8
,,Курская область,4.5
,,Липецкая область,4.6
,,Московская область,4.7
,,Орловская область,4.2
,,Рязанская область,5.1
,,Смоленская область,6.1
,,Тамбовская область,4.8
,,Тверская область,6.5
,,Тульская область,6
,,Ярославская область,4.5
,,Город Москва столица Российской Федерации город федерального значения,2.9
,,Республика Алтай,5.7
,,Республика Тыва,9.5
,,Республика Хакасия,5.8
,,Алтайский край,5.3
,,Красноярский край,5.5
,,Иркутская область,7.5
,,Кемеровская область - Кузбасс,7.6
,,Новосибирская область,4.8
,,Омская область,4.9
,,Томская область,4.8
,,Республика Бурятия,7.6
,,Забайкальский край,7.3
,,Республика Саха (Якутия),6.1
,,Камчатский край,5
,,Приморский край,6.3
,,Хабаровский край,6.7
,,Амурская область,7.6
,,Магаданская область,5.8
,,Сахалинская область,7
,,Еврейская автономная область,9.6
,,Чукотский автономный округ,7.1
,,Северо-Западный федеральный округ,5.2
,,Республика Карелия,6.4
,,Республика Коми,5.2
,,Архангельская область,5.8
,,Ненецкий автономный округ (Архангельская область),6.8
,,Архангельская область (кроме Ненецкого автономного округа),5.8
,,Вологодская область,5.6
,,Калининградская область,4.8
,,Ленинградская область,6.3
,,Мурманская область,5.1
,,Новгородская область,7.2
,,Псковская область,6.8
,,Город Санкт-Петербург город федерального значения,4.1
,,Южный федеральный округ (с 2010 года),4.4
,,Республика Адыгея (Адыгея),3.8
,,Республика Калмыкия,4.3
,,Краснодарский край,4
,,Астраханская область,4.9
,,Волгоградская область,4.5
,,Ростовская область,4.7
,,Северо-Кавказский федеральный округ,2.8
,,Республика Дагестан,2.1
,,Республика Ингушетия,2.1
,,Кабардино-Балкарская Республика,3.6
,,Карачаево-Черкесская Республика,2.8
,,Республика Северная Осетия-Алания,3.5
,,Чеченская Республика,2
,,Ставропольский край,3.5
,,Приволжский федеральный округ,5.3
,,Республика Башкортостан,5.5
,,Республика Марий Эл,5.7
,,Республика Мордовия,4.3
,,Республика Татарстан (Татарстан),4.2
,,Удмуртская Республика,5.4
,,Чувашская Республика - Чувашия,5.3
,,Пермский край,5.9
,,Кировская область,4.7
,,Нижегородская область,5.7
,,Оренбургская область,6
,,Пензенская область,4.3
,,Самарская область,5.9
,,Саратовская область,5
,,Ульяновская область,5.3
,,Уральский федеральный округ,5.1
,,Курганская область,5.5
,,Свердловская область,5.4
,,Тюменская область,4.5
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),4.2
,,Ямало-Ненецкий автономный округ (Тюменская область),3.5
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),5.3
,,Челябинская область,5.5
,,Сибирский федеральный округ,6.1
,,Дальневосточный федеральный округ,6.6
,40-44 лет,Российская Федерация,5.9
,,Центральный федеральный округ,5.3
,,Белгородская область,4.6
,,Брянская область,6.4
,,Владимирская область,7.5
,,Воронежская область,5.9
,,Ивановская область,7.3
,,Калужская область,6.6
,,Костромская область,5.9
,,Курская область,5.6
,,Липецкая область,5.9
,,Московская область,5.7
,,Орловская область,6.5
,,Рязанская область,6.7
,,Смоленская область,7
,,Тамбовская область,5.7
,,Тверская область,7.2
,,Тульская область,6.9
,,Ярославская область,6.3
,,Город Москва столица Российской Федерации город федерального значения,3.4
,,Республика Алтай,7.5
,,Республика Тыва,10.6
,,Республика Хакасия,7.1
,,Алтайский край,6.4
,,Красноярский край,6.6
,,Иркутская область,8.2
,,Кемеровская область - Кузбасс,8.1
,,Новосибирская область,5.8
,,Омская область,5.8
,,Томская область,5.3
,,Республика Бурятия,9.3
,,Забайкальский край,9
,,Республика Саха (Якутия),7.2
,,Камчатский край,7.2
,,Приморский край,7.5
,,Хабаровский край,8.9
,,Амурская область,9.5
,,Магаданская область,7.1
,,Сахалинская область,9.1
,,Еврейская автономная область,11.9
,,Чукотский автономный округ,9.8
,,Северо-Западный федеральный округ,6.3
,,Республика Карелия,8.3
,,Республика Коми,7.2
,,Архангельская область,7.1
,,Ненецкий автономный округ (Архангельская область),10.2
,,Архангельская область (кроме Ненецкого автономного округа),7
,,Вологодская область,7
,,Калининградская область,6.1
,,Ленинградская область,6.5
,,Мурманская область,6.3
,,Новгородская область,8.7
,,Псковская область,9
,,Город Санкт-Петербург город федерального значения,4.8
,,Южный федеральный округ (с 2010 года),5.6
,,Республика Адыгея (Адыгея),5.7
,,Республика Калмыкия,5.4
,,Краснодарский край,5.4
,,Астраханская область,6
,,Волгоградская область,5.4
,,Ростовская область,6
,,Северо-Кавказский федеральный округ,3.7
,,Республика Дагестан,2.4
,,Республика Ингушетия,2.2
,,Кабардино-Балкарская Республика,4.8
,,Карачаево-Черкесская Республика,4.4
,,Республика Северная Осетия-Алания,5.3
,,Чеченская Республика,2.6
,,Ставропольский край,4.8
,,Приволжский федеральный округ,6.5
,,Республика Башкортостан,6.6
,,Республика Марий Эл,8
,,Республика Мордовия,5.9
,,Республика Татарстан (Татарстан),5.3
,,Удмуртская Республика,6.7
,,Чувашская Республика - Чувашия,7
,,Пермский край,7.9
,,Кировская область,6.1
,,Нижегородская область,7
,,Оренбургская область,7.1
,,Пензенская область,6.1
,,Самарская область,6.5
,,Саратовская область,5.7
,,Ульяновская область,5.6
,,Уральский федеральный округ,5.7
,,Курганская область,6.7
,,Свердловская область,5.9
,,Тюменская область,4.7
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),4.3
,,Ямало-Ненецкий автономный округ (Тюменская область),3.8
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),5.8
,,Челябинская область,6.1
,,Сибирский федеральный округ,7.1
,,Дальневосточный федеральный округ,8.2
,45-49 лет,Российская Федерация,8
,,Центральный федеральный округ,7.3
,,Белгородская область,6.3
,,Брянская область,8.7
,,Владимирская область,9.7
,,Воронежская область,8
,,Ивановская область,9.2
,,Калужская область,8.9
,,Костромская область,9.2
,,Курская область,8.6
,,Липецкая область,8.1
,,Московская область,7.6
,,Орловская область,9.2
,,Рязанская область,8.7
,,Смоленская область,9.7
,,Тамбовская область,8
,,Тверская область,10.7
,,Тульская область,9.3
,,Ярославская область,8.9
,,Город Москва столица Российской Федерации город федерального значения,4.7
,,Республика Алтай,12.8
,,Республика Тыва,14.7
,,Республика Хакасия,9.3
,,Алтайский край,8.2
,,Красноярский край,9
,,Иркутская область,10.7
,,Кемеровская область - Кузбасс,10
,,Новосибирская область,7.9
,,Омская область,7.9
,,Томская область,7.7
,,Республика Бурятия,11.5
,,Забайкальский край,10.7
,,Республика Саха (Якутия),9.4
,,Камчатский край,10.3
,,Приморский край,10
,,Хабаровский край,11.7
,,Амурская область,12.4
,,Магаданская область,10.9
,,Сахалинская область,11.8
,,Еврейская автономная область,10.7
,,Чукотский автономный округ,13
,,Северо-Западный федеральный округ,8.4
,,Республика Карелия,10.3
,,Республика Коми,9.8
,,Архангельская область,9.2
,,Ненецкий автономный округ (Архангельская область),12.6
,,Архангельская область (кроме Ненецкого автономного округа),9.1
,,Вологодская область,9.7
,,Калининградская область,8.2
,,Ленинградская область,8.9
,,Мурманская область,9.3
,,Новгородская область,10.1
,,Псковская область,12.2
,,Город Санкт-Петербург город федерального значения,6.3
,,Южный федеральный округ (с 2010 года),7.8
,,Республика Адыгея (Адыгея),7.9
,,Республика Калмыкия,7
,,Краснодарский край,7.7
,,Астраханская область,8.6
,,Волгоградская область,8
,,Ростовская область,7.7
,,Северо-Кавказский федеральный округ,5.3
,,Республика Дагестан,3.8
,,Республика Ингушетия,3.3
,,Кабардино-Балкарская Республика,5.3
,,Карачаево-Черкесская Республика,6.5
,,Республика Северная Осетия-Алания,6.5
,,Чеченская Республика,4.3
,,Ставропольский край,7.1
,,Приволжский федеральный округ,8.4
,,Республика Башкортостан,8.3
,,Республика Марий Эл,9.9
,,Республика Мордовия,8.3
,,Республика Татарстан (Татарстан),7.4
,,Удмуртская Республика,8.9
,,Чувашская Республика - Чувашия,9
,,Пермский край,9.9
,,Кировская область,8.5
,,Нижегородская область,8.8
,,Оренбургская область,8.5
,,Пензенская область,7.6
,,Самарская область,8.2
,,Саратовская область,8.2
,,Ульяновская область,7.4
,,Уральский федеральный округ,7.6
,,Курганская область,8.6
,,Свердловская область,7.8
,,Тюменская область,6.7
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),5.9
,,Ямало-Ненецкий автономный округ (Тюменская область),6.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),7.9
